,Iteration Count,Input Expression,Current Cost,Expand ?	,Expression to Process,selected_rand_comb,Rand El 1,Rand El 2,Matched Variable,Loop Reduced Expression,law_replace,New Expression,New Cost
139,139,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
140,140,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
141,141,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
142,142,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
143,143,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
144,144,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
145,145,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
146,146,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
147,147,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
148,148,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
149,149,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
150,150,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
151,151,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
152,152,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
153,153,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
154,154,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
155,155,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
156,156,c'(ab'+a'),4,True,c'(ab'+a'),,,,,,,c'(ab'+a'),4
157,157,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
158,158,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
159,159,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
160,160,c'(ab'+a'),4,False,c'(ab'+a'),,,,,,,c'(ab'+a'),4
